
1999 年世界各国制造业增加值排名
名次 国家               增加值（亿美元）
23   乌克兰                  217.63
24   白俄罗斯               162.79
25   摩洛哥                  149.68
26   古巴                     117.78
27   厄瓜多尔               113.90
28   危地马拉                96.34
29   多米尼加共和国        90.98
30   斯洛文尼亚             87.25
31   克罗地亚                77.48
32   塞尔维亚                68.52
33   哥斯达黎加             65.55
34   乌拉圭                   62.40
35   约旦                      59.44
36   安哥拉                   56.39
37   肯尼亚                   55.50
38   乌干达                   45.47
39   喀麦隆                   43.88
40   科特迪瓦                37.46
41   坦桑尼亚                37.42
42   萨尔瓦多                34.59
43   拉脱维亚                32.69
44   阿塞拜疆                29.52
45   加蓬                      28.33
46   卢森堡                   27.02
47   阿富汗                   24.97
48   津巴布韦                24.04
49   柬埔寨                   21.21
50   波斯尼亚和黑塞哥维那        18.17
51   冰岛                      17.31
52   约旦河西岸和加沙        16.01
53   毛里求斯                15.93
54   纳米比亚                15.90
55   格鲁吉亚                15.65
56   斯威士兰                15.16
57   尼加拉瓜                14.96
58   埃塞俄比亚             14.81
59   莫桑比克                14.14
60   尼泊尔                   12.56
61   牙买加                   11.97
62   贝宁                      11.93
63   苏里南                   10.60
64   亚美尼亚                10.01
65   老挝                       9.16
66   博茨瓦纳                 8.54
67   几内亚                    8.04
68   吉尔吉斯斯坦           7.97
69   刚果（布）              7.53
70   塔吉克斯坦              7.23
71   马里                       7.17
72   科索沃                    7.06
73   中非共和国              5.94
74   阿尔巴尼亚              5.68
75   毛里塔尼亚              4.39
76   南苏丹                    3.24
77   马恩岛                    2.40
78   布隆迪                    2.06
79   黑山                       1.67
80   不丹                       1.61
81   法罗群岛                 1.38
82   塞舌尔                    0.89
83   冈比亚                    0.81
84   圣卢西亚                 0.55
85   百慕大                    0.38
86   开曼群岛                 0.34
87   瓦努阿图                 0.28
88   格林纳达                 0.26
89   安提瓜和巴布达         0.25
90   多米尼克                 0.15
91   圣马丁(荷属)            0.11
92   基里巴斯                 0.09
93   东帝汶                    0.09
94   帕劳                       0.02
95   图瓦卢                    0.00
96   阿鲁巴                    0.00

2013 年世界各国制造业增加值排名
名次 国家               增加值（亿美元）
1    中国                   29353.40
2    美国                   19817.54
3    德国                    7437.56
4    意大利                 2972.15
5    印度                    2832.06
6    加拿大                 1770.61
7    土耳其                 1559.26
8    泰国                    1159.64
9    荷兰                     902.19
10   波兰                     814.71
11   马来西亚               738.39
12   奥地利                  709.43
13   新加坡                  542.52
14   爱尔兰                  468.92
15   尼日利亚               454.21
16   南非                     425.56
17   以色列                  381.52
18   挪威                     345.95
19   巴基斯坦               313.72
20   智利                     309.44
21   阿拉伯联合酋长国       293.76
22   哈萨克斯坦            251.66
23   乌克兰                  206.50
24   白俄罗斯               166.13
25   摩洛哥                  165.72
26   厄瓜多尔               124.08
27   古巴                     121.38
28   斯洛文尼亚             92.74
29   多米尼加共和国        91.46
30   塞尔维亚                78.01
31   危地马拉                76.40
32   克罗地亚                74.41
33   约旦                      66.42
34   安哥拉                   65.99
35   哥斯达黎加             65.43
36   乌拉圭                   64.82
37   肯尼亚                   58.82
38   科特迪瓦                50.67
39   喀麦隆                   48.52
40   乌干达                   44.96
41   坦桑尼亚                41.62
42   萨尔瓦多                35.14
43   拉脱维亚                33.93
44   阿塞拜疆                31.27
45   加蓬                      30.20
46   卢森堡                   30.16
47   津巴布韦                24.66
48   阿富汗                   23.64
49   柬埔寨                   23.59
50   波斯尼亚和黑塞哥维那        19.88
51   冰岛                      18.83
52   埃塞俄比亚             17.64
53   毛里求斯                16.87
54   格鲁吉亚                16.35
55   约旦河西岸和加沙        16.08
56   尼加拉瓜                15.92
57   莫桑比克                13.90
58   贝宁                      13.67
59   斯威士兰                13.63
60   尼泊尔                   12.74
61   纳米比亚                12.43
62   牙买加                   11.65
63   吉尔吉斯斯坦          11.57
64   亚美尼亚                10.77
65   刚果（布）             10.63
66   老挝                      10.07
67   苏里南                    9.67
68   几内亚                    9.05
69   博茨瓦纳                 8.67
70   塔吉克斯坦              7.79
71   科索沃                    7.77
72   南苏丹                    7.40
73   马里                       7.22
74   阿尔巴尼亚              6.46
75   毛里塔尼亚              4.63
76   中非共和国              3.56
77   布隆迪                    2.34
78   马恩岛                    2.24
79   黑山                       1.81
80   不丹                       1.50
81   法罗群岛                 1.42
82   塞舌尔                    0.96
83   冈比亚                    0.77
84   圣卢西亚                 0.50
85   开曼群岛                 0.35
86   百慕大                    0.33
87   安提瓜和巴布达         0.32
88   格林纳达                 0.28
89   瓦努阿图                 0.26
90   多米尼克                 0.15
91   东帝汶                    0.10
92   圣马丁(荷属)            0.10
93   基里巴斯                 0.08
94   帕劳                       0.02
95   图瓦卢                    0.00
96   阿鲁巴                    0.00

2014 年世界各国制造业增加值排名
名次 国家               增加值（亿美元）
1    中国                   31842.35
2    美国                   20423.39
3    德国                    7854.99
4    印度                    3072.06
5    意大利                 3017.66
6    加拿大                 1702.13
7    土耳其                 1574.78
8    泰国                    1123.18
9    荷兰                     923.11
10   波兰                     897.09
11   马来西亚               773.28
12   奥地利                  731.95
13   新加坡                  566.72
14   尼日利亚               526.77
15   爱尔兰                  517.93
16   南非                     422.71
17   以色列                  393.01
18   挪威                     339.28
19   巴基斯坦               330.92
20   阿拉伯联合酋长国       312.98
21   智利                     294.90
22   哈萨克斯坦            228.46
23   摩洛哥                  181.53
24   白俄罗斯               166.20
25   乌克兰                  163.25
26   厄瓜多尔               140.02
27   古巴                     121.69
28   斯洛文尼亚             97.98
29   多米尼加共和国        97.72
30   危地马拉                81.44
31   克罗地亚                74.37
32   塞尔维亚                70.42
33   乌拉圭                   69.50
34   约旦                      69.45
35   安哥拉                   69.40
36   哥斯达黎加             63.92
37   肯尼亚                   61.19
38   科特迪瓦                59.59
39   喀麦隆                   50.47
40   乌干达                   50.40
41   坦桑尼亚                45.57
42   萨尔瓦多                36.32
43   阿塞拜疆                35.42
44   拉脱维亚                32.92
45   加蓬                      31.66
46   卢森堡                   26.13
47   柬埔寨                   25.72
48   津巴布韦                24.55
49   阿富汗                   23.51
50   埃塞俄比亚             22.20
51   冰岛                      20.48
52   波斯尼亚和黑塞哥维那        20.30
53   尼加拉瓜                17.50
54   毛里求斯                17.40
55   格鲁吉亚                16.93
56   约旦河西岸和加沙        15.04
57   莫桑比克                14.22
58   贝宁                      13.80
59   斯威士兰                13.55
60   尼泊尔                   12.76
61   纳米比亚                12.32
62   牙买加                   11.30
63   亚美尼亚                11.22
64   老挝                      11.18
65   刚果（布）             10.72
66   吉尔吉斯斯坦          10.21
67   马里                      10.03
68   几内亚                    9.73
69   博茨瓦纳                 8.62
70   苏里南                    8.57
71   科索沃                    7.65
72   阿尔巴尼亚              7.05
73   塔吉克斯坦              6.94
74   毛里塔尼亚              4.89
75   南苏丹                    3.74
76   中非共和国              3.31
77   布隆迪                    2.74
78   马恩岛                    2.05
79   法罗群岛                 1.82
80   黑山                       1.78
81   不丹                       1.59
82   塞舌尔                    0.87
83   冈比亚                    0.80
84   圣卢西亚                 0.51
85   开曼群岛                 0.38
86   安提瓜和巴布达         0.34
87   格林纳达                 0.31
88   百慕大                    0.31
89   瓦努阿图                 0.27
90   多米尼克                 0.16
91   东帝汶                    0.11
92   圣马丁(荷属)            0.10
93   基里巴斯                 0.08
94   帕劳                       0.02
95   图瓦卢                    0.00
96   阿鲁巴                    0.00

2015 年世界各国制造业增加值排名
名次 国家               增加值（亿美元）
1    中国                   32025.04
2    美国                   21217.85
3    德国                    6829.23
4    印度                    3278.20
5    意大利                 2642.85
6    加拿大                 1552.68
7    土耳其                 1443.08
8    泰国                    1098.51
9    爱尔兰                 1017.31
10   波兰                     835.05
11   荷兰                     826.62
12   马来西亚               671.82
13   奥地利                  637.25
14   新加坡                  557.16
15   尼日利亚               458.98
16   以色列                  390.87
17   南非                     381.83
18   巴基斯坦               346.10
19   阿拉伯联合酋长国       316.35
20   智利                     284.44
21   挪威                     265.19
22   哈萨克斯坦            189.47
23   摩洛哥                  163.27
24   厄瓜多尔               143.21
25   古巴                     129.90
26   白俄罗斯               116.55
27   乌克兰                  108.35
28   多米尼加共和国       104.63
29   危地马拉                89.09
30   斯洛文尼亚             85.92
31   约旦                      70.85
32   乌拉圭                   70.55
33   安哥拉                   66.06
34   哥斯达黎加             65.51
35   克罗地亚                64.09
36   肯尼亚                   59.98
37   塞尔维亚                58.56
38   乌干达                   54.34
39   科特迪瓦                49.67
40   喀麦隆                   45.35
41   萨尔瓦多                38.41
42   坦桑尼亚                37.22
43   柬埔寨                   28.90
44   拉脱维亚                28.53
45   埃塞俄比亚             28.45
46   卢森堡                   26.76
47   阿塞拜疆                26.49
48   加蓬                      24.00
49   津巴布韦                23.73
50   阿富汗                   22.73
51   波斯尼亚和黑塞哥维那        18.92
52   冰岛                      18.74
53   尼加拉瓜                18.11
54   毛里求斯                15.24
55   格鲁吉亚                13.26
56   莫桑比克                13.07
57   尼泊尔                   13.05
58   约旦河西岸和加沙        13.02
59   纳米比亚                12.94
60   斯威士兰                12.89
61   老挝                      11.79
62   贝宁                      11.43
63   牙买加                   11.29
64   几内亚                   10.66
65   亚美尼亚                 9.72
66   刚果（布）              9.39
67   吉尔吉斯斯坦           9.38
68   塔吉克斯坦              8.88
69   马里                       8.42
70   博茨瓦纳                 8.33
71   科索沃                    6.94
72   阿尔巴尼亚              6.46
73   苏里南                    5.89
74   毛里塔尼亚              4.59
75   南苏丹                    4.24
76   中非共和国              3.35
77   布隆迪                    2.69
78   马恩岛                    1.90
79   黑山                       1.66
80   不丹                       1.64
81   法罗群岛                 1.61
82   冈比亚                    0.88
83   塞舌尔                    0.82
84   圣卢西亚                 0.54
85   开曼群岛                 0.39
86   安提瓜和巴布达         0.36
87   百慕大                    0.34
88   格林纳达                 0.34
89   瓦努阿图                 0.27
90   多米尼克                 0.22
91   东帝汶                    0.15
92   圣马丁(荷属)            0.10
93   基里巴斯                 0.07
94   帕劳                       0.03
95   图瓦卢                    0.00
96   阿鲁巴                    0.00

2016 年世界各国制造业增加值排名
名次 国家               增加值（亿美元）
1    中国                   31531.18
2    美国                   20940.72
3    德国                    7164.50
4    印度                    3479.43
5    意大利                 2774.50
6    加拿大                 1516.99
7    土耳其                 1443.30
8    泰国                    1122.05
9    爱尔兰                  996.18
10   荷兰                     850.21
11   波兰                     849.33
12   奥地利                  674.34
13   马来西亚               656.64
14   新加坡                  559.72
15   以色列                  386.07
16   南非                     356.40
17   尼日利亚               351.22
18   巴基斯坦               336.64
19   阿拉伯联合酋长国       320.78
20   智利                     274.88
21   挪威                     242.03
22   摩洛哥                  161.97
23   哈萨克斯坦            155.54
24   厄瓜多尔               145.41
25   古巴                     126.55
26   乌克兰                  114.07
27   多米尼加共和国       109.16
28   白俄罗斯                96.17
29   危地马拉                93.73
30   斯洛文尼亚             90.22
31   约旦                      71.83
32   哥斯达黎加             68.29
33   安哥拉                   68.29
34   克罗地亚                67.48
35   肯尼亚                   64.48
36   乌拉圭                   62.73
37   塞尔维亚                60.27
38   喀麦隆                   48.51
39   乌干达                   47.40
40   科特迪瓦                43.25
41   埃塞俄比亚             42.29
42   萨尔瓦多                39.40
43   坦桑尼亚                38.89
44   卢森堡                   32.27
45   柬埔寨                   32.02
46   拉脱维亚                28.53
47   加蓬                      24.48
48   津巴布韦                23.83
49   波斯尼亚和黑塞哥维那        20.92
50   冰岛                      19.37
51   尼加拉瓜                18.79
52   阿塞拜疆                18.67
53   约旦河西岸和加沙        15.45
54   毛里求斯                15.17
55   纳米比亚                12.52
56   老挝                      12.28
57   尼泊尔                   11.99
58   斯威士兰                11.92
59   格鲁吉亚                11.80
60   贝宁                      11.74
61   刚果（布）             10.92
62   亚美尼亚                10.85
63   牙买加                   10.80
64   吉尔吉斯斯坦          10.52
65   莫桑比克                10.12
66   几内亚                    9.39
67   博茨瓦纳                 8.13
68   塔吉克斯坦              7.96
69   马里                       7.73
70   阿富汗                    7.41
71   科索沃                    7.37
72   阿尔巴尼亚              6.74
73   苏里南                    4.45
74   毛里塔尼亚              3.91
75   中非共和国              3.55
76   布隆迪                    2.77
77   马恩岛                    1.65
78   不丹                       1.65
79   黑山                       1.64
80   法罗群岛                 1.29
81   冈比亚                    0.83
82   塞舌尔                    0.82
83   圣卢西亚                 0.59
84   开曼群岛                 0.42
85   安提瓜和巴布达         0.39
86   格林纳达                 0.36
87   百慕大                    0.30
88   东帝汶                    0.18
89   多米尼克                 0.15
90   圣马丁(荷属)            0.09
91   基里巴斯                 0.08
92   帕劳                       0.03
93   南苏丹                    0.00
94   图瓦卢                    0.00
95   瓦努阿图                 0.00
96   阿鲁巴                    0.00

2017 年世界各国制造业增加值排名
名次 国家               增加值（亿美元）
1    中国                   34603.25
2    美国                   21749.39
3    德国                    7507.18
4    印度                    3982.05
5    意大利                 2918.57
6    加拿大                 1597.24
7    土耳其                 1511.13
8    泰国                    1232.84
9    爱尔兰                 1075.52
10   荷兰                     919.35
11   波兰                     885.47
12   奥地利                  700.88
13   马来西亚               697.14
14   新加坡                  639.18
15   南非                     419.86
16   以色列                  406.84
17   巴基斯坦               365.44
18   阿拉伯联合酋长国       353.00
19   尼日利亚               328.48
20   智利                     288.01
21   挪威                     254.99
22   哈萨克斯坦            188.16
23   摩洛哥                  172.19
24   厄瓜多尔               149.83
25   乌克兰                  135.31
26   古巴                     130.75
27   白俄罗斯               118.37
28   多米尼加共和国       112.76
29   危地马拉               101.32
30   斯洛文尼亚             99.72
31   安哥拉                   80.36
32   约旦                      74.74
33   克罗地亚                71.76
34   哥斯达黎加             71.01
35   塞尔维亚                66.65
36   乌拉圭                   64.76
37   肯尼亚                   63.74
38   喀麦隆                   52.95
39   科特迪瓦                52.17
40   埃塞俄比亚             50.59
41   乌干达                   47.72
42   坦桑尼亚                40.84
43   萨尔瓦多                40.18
44   柬埔寨                   35.90
45   卢森堡                   32.06
46   拉脱维亚                31.81
47   加蓬                      26.31
48   波斯尼亚和黑塞哥维那        23.71
49   冰岛                      22.00
50   津巴布韦                19.37
51   阿塞拜疆                19.20
52   尼加拉瓜                18.81
53   约旦河西岸和加沙        18.80
54   纳米比亚                15.76
55   毛里求斯                15.65
56   尼泊尔                   14.07
57   格鲁吉亚                13.96
58   斯威士兰                13.13
59   老挝                      12.61
60   亚美尼亚                12.25
61   贝宁                      12.22
62   刚果（布）             12.00
63   吉尔吉斯斯坦          11.55
64   牙买加                   11.41
65   莫桑比克                10.84
66   几内亚                   10.35
67   塔吉克斯坦              9.65
68   马里                       9.32
69   博茨瓦纳                 8.91
70   苏里南                    8.48
71   阿尔巴尼亚              8.02
72   科索沃                    7.91
73   阿富汗                    6.66
74   毛里塔尼亚              5.21
75   中非共和国              3.82
76   黑山                       1.87
77   不丹                       1.84
78   法罗群岛                 1.68
79   马恩岛                    1.45
80   塞舌尔                    0.90
81   冈比亚                    0.67
82   圣卢西亚                 0.62
83   开曼群岛                 0.44
84   安提瓜和巴布达         0.37
85   格林纳达                 0.35
86   百慕大                    0.33
87   东帝汶                    0.25
88   多米尼克                 0.10
89   基里巴斯                 0.08
90   圣马丁(荷属)            0.08
91   帕劳                       0.03
92   南苏丹                    0.00
93   瓦努阿图                 0.00
94   图瓦卢                    0.00
95   阿鲁巴                    0.00
96   布隆迪                    0.00

2018 年世界各国制造业增加值排名
名次 国家               增加值（亿美元）
1    中国                   38684.58
2    美国                   23080.55
3    德国                    7965.87
4    印度                    4012.03
5    意大利                 3138.94
6    土耳其                 1481.94
7    泰国                    1353.59
8    爱尔兰                 1271.00
9    荷兰                    1010.18
10   波兰                     982.58
11   新加坡                  784.12
12   马来西亚               772.41
13   奥地利                  768.00
14   南非                     432.93
15   以色列                  407.19
16   巴基斯坦               383.27
17   尼日利亚               383.25
18   阿拉伯联合酋长国       368.74
19   智利                     313.67
20   挪威                     262.04
21   哈萨克斯坦            204.96
22   摩洛哥                  185.12
23   乌克兰                  151.27
24   厄瓜多尔               150.00
25   古巴                     130.52
26   白俄罗斯               127.61
27   多米尼加共和国       120.94
28   斯洛文尼亚            109.92
29   危地马拉               102.23
30   约旦                      76.84
31   克罗地亚                76.65
32   哥斯达黎加             74.77
33   塞尔维亚                73.57
34   乌拉圭                   69.94
35   科特迪瓦                69.39
36   肯尼亚                   68.17
37   加蓬                      67.30
38   安哥拉                   61.41
39   喀麦隆                   55.19
40   乌干达                   51.84
41   埃塞俄比亚             49.11
42   坦桑尼亚                46.02
43   萨尔瓦多                40.82
44   柬埔寨                   40.17
45   卢森堡                   36.46
46   拉脱维亚                36.33
47   波斯尼亚和黑塞哥维那        26.69
48   冰岛                      22.65
49   阿塞拜疆                21.77
50   约旦河西岸和加沙        18.80
51   尼加拉瓜                18.03
52   纳米比亚                16.83
53   尼泊尔                   16.25
54   毛里求斯                16.08
55   格鲁吉亚                15.55
56   亚美尼亚                14.04
57   斯威士兰                13.55
58   老挝                      13.38
59   贝宁                      13.07
60   莫桑比克                12.94
61   津巴布韦                12.63
62   牙买加                   12.07
63   吉尔吉斯斯坦          11.80
64   几内亚                   11.49
65   阿富汗                   11.31
66   马里                      10.74
67   刚果（布）             10.29
68   塔吉克斯坦             10.27
69   博茨瓦纳                 9.60
70   阿尔巴尼亚              9.31
71   科索沃                    8.99
72   苏里南                    8.52
73   毛里塔尼亚              5.51
74   中非共和国              4.03
75   黑山                       2.19
76   不丹                       1.82
77   马恩岛                    1.62
78   法罗群岛                 1.58
79   塞舌尔                    1.07
80   冈比亚                    0.71
81   圣卢西亚                 0.66
82   开曼群岛                 0.49
83   安提瓜和巴布达         0.40
84   格林纳达                 0.37
85   百慕大                    0.35
86   东帝汶                    0.26
87   多米尼克                 0.12
88   基里巴斯                 0.08
89   帕劳                       0.03
90   南苏丹                    0.00
91   阿鲁巴                    0.00
92   加拿大                    0.00
93   圣马丁(荷属)            0.00
94   瓦努阿图                 0.00
95   图瓦卢                    0.00
96   布隆迪                    0.00

2019 年世界各国制造业增加值排名
名次 国家               增加值（亿美元）
1    中国                   38234.14
2    美国                   23418.47
3    德国                    7541.97
4    印度                    3825.65
5    意大利                 2984.27
6    泰国                    1394.85
7    土耳其                 1391.79
8    爱尔兰                 1277.61
9    波兰                     991.46
10   荷兰                     980.68
11   马来西亚               781.98
12   奥地利                  739.56
13   新加坡                  728.34
14   尼日利亚               516.34
15   以色列                  429.06
16   南非                     414.01
17   阿拉伯联合酋长国       367.27
18   巴基斯坦               346.58
19   智利                     283.29
20   挪威                     256.02
21   哈萨克斯坦            208.31
22   摩洛哥                  178.57
23   乌克兰                  166.46
24   厄瓜多尔               158.58
25   白俄罗斯               139.38
26   多米尼加共和国       122.37
27   斯洛文尼亚            111.93
28   危地马拉               106.30
29   约旦                      78.78
30   哥斯达黎加             76.05
31   克罗地亚                72.88
32   肯尼亚                   72.03
33   塞尔维亚                70.34
34   科特迪瓦                68.99
35   加蓬                      67.61
36   乌拉圭                   63.93
37   喀麦隆                   55.40
38   乌干达                   54.58
39   埃塞俄比亚             53.66
40   坦桑尼亚                51.88
41   柬埔寨                   44.09
42   萨尔瓦多                41.72
43   安哥拉                   38.53
44   拉脱维亚                35.43
45   卢森堡                   32.36
46   波斯尼亚和黑塞哥维那        26.14
47   阿塞拜疆                24.10
48   冰岛                      21.43
49   约旦河西岸和加沙        19.25
50   尼加拉瓜                17.11
51   尼泊尔                   17.03
52   亚美尼亚                16.05
53   纳米比亚                15.56
54   格鲁吉亚                15.50
55   毛里求斯                15.38
56   贝宁                      14.20
57   莫桑比克                13.85
58   老挝                      13.77
59   阿富汗                   13.59
60   斯威士兰                13.27
61   吉尔吉斯斯坦          13.05
62   牙买加                   12.25
63   几内亚                   11.64
64   马里                      11.43
65   塔吉克斯坦             11.15
66   刚果（布）             10.51
67   博茨瓦纳                 9.62
68   阿尔巴尼亚              9.58
69   科索沃                    9.28
70   苏里南                    7.28
71   中非共和国              4.02
72   黑山                       2.06
73   法罗群岛                 1.98
74   不丹                       1.80
75   塞舌尔                    0.98
76   圣卢西亚                 0.72
77   冈比亚                    0.72
78   格林纳达                 0.41
79   百慕大                    0.38
80   安提瓜和巴布达         0.38
81   东帝汶                    0.30
82   多米尼克                 0.13
83   毛里塔尼亚              0.00
84   基里巴斯                 0.00
85   古巴                       0.00
86   图瓦卢                    0.00
87   阿鲁巴                    0.00
88   南苏丹                    0.00
89   帕劳                       0.00
90   马恩岛                    0.00
91   瓦努阿图                 0.00
92   开曼群岛                 0.00
93   圣马丁(荷属)            0.00
94   津巴布韦                 0.00
95   加拿大                    0.00
96   布隆迪                    0.00
